service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10431,1,1,1,1,1,0,0,20150202,20150609
11016,0,0,0,0,0,1,1,20150201,20150607
10809,0,0,0,0,0,1,0,20150207,20150606
10400,1,1,1,1,1,1,0,20150202,20150609
10398,1,1,1,1,1,1,1,20150201,20150609
10907,1,1,1,1,1,1,1,20150202,20150609
11012,1,1,1,1,1,1,1,20150202,20150609
11014,1,1,1,1,1,1,1,20150202,20150609
10957,1,1,1,1,1,1,0,20150309,20150609
10958,0,1,1,1,1,1,1,20150309,20150609
10394,0,0,0,0,0,0,1,20150201,20150607
10955,0,0,0,0,0,0,1,20150201,20150607
10956,1,0,0,0,0,0,0,20150202,20150608
10854,0,0,0,0,0,1,1,20150201,20150607
11434,1,1,1,1,1,0,0,20150202,20150609
11436,0,0,0,0,0,1,1,20150207,20150607
11437,0,0,0,0,0,1,0,20150207,20150606
11439,1,1,1,1,1,0,0,20150203,20150609
11435,0,0,0,0,0,0,1,20150208,20150607
11429,0,0,0,0,0,0,1,20150201,20150607
11431,0,0,0,0,0,1,0,20150207,20150606
11430,0,0,0,0,0,1,1,20150201,20150607
11433,1,1,1,1,1,1,0,20150202,20150609
11030,1,1,1,1,1,1,1,20150201,20150609
11438,1,1,1,1,1,0,1,20150201,20150609
11441,1,1,1,1,1,1,1,20150201,20150609
11442,1,1,1,1,1,1,1,20150420,20150517
11440,1,1,1,1,1,0,0,20150302,20150320
11443,1,1,1,1,1,1,1,20150209,20150301
11444,1,1,1,1,1,1,1,20150420,20150517
11446,1,1,1,1,1,1,1,20150420,20150517
11445,1,1,1,1,1,1,1,20150201,20150609
11017,1,1,1,1,1,0,1,20150201,20150609
11454,1,1,1,1,1,1,1,20150201,20150517
11455,1,1,1,1,1,1,1,20150201,20150609
11451,1,1,1,1,1,1,1,20150302,20150609
11449,0,1,1,1,1,1,0,20150302,20150320
11450,1,0,0,0,0,0,1,20150302,20150322
11447,1,1,1,1,1,1,1,20150302,20150609
11448,0,0,0,0,0,1,1,20150302,20150315
11452,1,1,1,1,1,1,1,20150302,20150609
11456,1,0,0,0,0,0,0,20150202,20150608
10474,0,0,0,0,1,0,0,20150206,20150605
10476,1,0,0,0,0,0,0,20150202,20150608
10475,1,0,0,0,0,0,0,20150202,20150608
10473,0,0,1,0,0,1,0,20150204,20150606
10471,1,0,0,0,0,0,0,20150202,20150608
10472,1,1,1,1,1,1,0,20150202,20150609
8886,0,0,0,0,0,1,1,20150207,20150222
8890,0,0,0,0,0,0,1,20150215,20150222
8887,0,0,0,0,0,1,0,20150214,20150221
8885,0,0,0,0,1,0,0,20150213,20150220
11457,0,0,0,0,0,1,1,20150201,20150329
11416,1,1,1,1,1,0,0,20150202,20150331
8888,1,1,1,1,1,1,0,20150204,20150228
8889,0,0,0,0,0,0,1,20150208,20150301
11238,1,1,1,1,1,0,0,20150202,20150227
11307,1,1,1,1,1,0,0,20150202,20150208
10536,1,1,1,1,1,0,0,20150202,20150213
10551,0,1,1,1,1,1,0,20150203,20150214
11300,0,1,1,1,1,1,0,20150217,20150228
11132,1,1,1,1,1,0,0,20150216,20150227
11305,1,1,1,1,1,0,0,20150202,20150227
11644,1,1,1,1,1,0,0,20150202,20150206
11645,0,1,1,1,1,1,0,20150203,20150207
11428,1,1,1,1,1,0,0,20150209,20150227
11642,0,1,1,1,1,1,0,20150210,20150228
11673,0,1,1,1,1,1,0,20150203,20150207
11668,0,0,0,0,0,0,1,20150309,20150315
11670,0,0,0,0,0,1,1,20150309,20150315
11045,1,1,1,1,1,0,0,20150202,20150206
11039,1,1,1,1,1,0,0,20150209,20150220
10954,0,1,1,1,1,1,0,20150203,20150213
10849,0,1,1,1,1,1,0,20150203,20150207
11043,0,1,1,1,1,1,0,20150210,20150221
11044,1,1,1,1,1,0,0,20150202,20150212
11042,0,1,1,1,1,1,0,20150202,20150221
11469,1,1,1,1,1,1,1,20150201,20150301
11470,1,1,1,1,1,1,1,20150302,20150609
11672,0,1,1,1,1,1,0,20150203,20150609
11427,0,1,1,1,1,1,0,20150203,20150207
11426,1,1,1,1,1,0,0,20150302,20150329
11475,0,0,0,0,1,0,0,20150206,20150605
11473,1,1,1,1,1,0,0,20150202,20150609
11465,0,1,1,1,1,1,0,20150302,20150321
10424,1,1,1,1,1,0,0,20150202,20150206
10634,1,1,1,1,1,0,0,20150202,20150424
11231,1,1,1,1,0,0,0,20150202,20150226
10470,0,0,0,0,0,1,1,20150207,20150208
