service_id,date,exception_type
10431,20150514,2
10431,20150501,2
10431,20150508,2
10431,20150406,2
10431,20150525,2
11016,20150514,1
11016,20150406,1
11016,20150501,1
11016,20150508,1
10400,20150514,2
10400,20150501,2
10400,20150508,2
10400,20150406,2
10400,20150525,2
10904,20150530,1
10904,20150531,1
10904,20150201,1
10907,20150530,2
10907,20150531,2
11012,20150530,2
11012,20150531,2
11011,20150530,1
11011,20150531,1
11011,20150201,1
11013,20150219,1
11013,20150220,1
11013,20150310,1
11014,20150310,2
11014,20150216,2
11014,20150217,2
11014,20150218,2
11014,20150219,2
11014,20150220,2
11015,20150201,1
11015,20150216,1
11015,20150217,1
11015,20150218,1
10957,20150202,1
10957,20150203,1
10957,20150204,1
10957,20150205,1
10957,20150206,1
10957,20150207,1
10957,20150209,1
10957,20150210,1
10957,20150211,1
10957,20150212,1
10957,20150213,1
10957,20150214,1
10957,20150216,1
10957,20150217,1
10957,20150218,1
10957,20150219,1
10957,20150220,1
10957,20150221,1
10957,20150223,1
10957,20150224,1
10957,20150225,1
10957,20150226,1
10957,20150227,1
10957,20150228,1
10957,20150525,2
10957,20150406,2
10957,20150407,2
10957,20150511,2
10957,20150512,2
10957,20150514,2
10957,20150302,2
10957,20150303,2
10957,20150304,2
10957,20150305,2
10957,20150501,2
10957,20150508,2
10958,20150201,1
10958,20150203,1
10958,20150204,1
10958,20150205,1
10958,20150206,1
10958,20150207,1
10958,20150208,1
10958,20150210,1
10958,20150211,1
10958,20150212,1
10958,20150213,1
10958,20150214,1
10958,20150215,1
10958,20150217,1
10958,20150218,1
10958,20150219,1
10958,20150220,1
10958,20150221,1
10958,20150222,1
10958,20150224,1
10958,20150225,1
10958,20150226,1
10958,20150227,1
10958,20150228,1
10958,20150301,1
10958,20150526,2
10958,20150407,2
10958,20150408,2
10958,20150512,2
10958,20150513,2
10958,20150515,2
10958,20150303,2
10958,20150304,2
10958,20150305,2
10958,20150306,2
10958,20150502,2
10958,20150509,2
10394,20150514,1
10394,20150406,1
10394,20150525,1
10394,20150501,1
10394,20150508,1
10955,20150514,1
10955,20150525,1
10955,20150501,1
10955,20150508,1
10956,20150515,1
10956,20150526,1
10956,20150502,1
10956,20150509,1
10854,20150514,1
10854,20150406,1
10854,20150525,1
10854,20150501,1
10854,20150508,1
11434,20150514,2
11434,20150501,2
11434,20150508,2
11434,20150406,2
11434,20150525,2
11436,20150514,1
11436,20150406,1
11436,20150525,1
11436,20150501,1
11436,20150508,1
11439,20150514,2
11439,20150501,2
11439,20150508,2
11439,20150406,2
11439,20150525,2
11435,20150514,1
11435,20150406,1
11435,20150525,1
11435,20150501,1
11435,20150508,1
11429,20150514,1
11429,20150406,1
11429,20150525,1
11429,20150501,1
11429,20150508,1
11430,20150514,1
11430,20150406,1
11430,20150525,1
11430,20150501,1
11430,20150508,1
11433,20150514,2
11433,20150501,2
11433,20150508,2
11433,20150406,2
11433,20150525,2
11441,20150202,2
11441,20150203,2
11441,20150204,2
11441,20150205,2
11441,20150206,2
11441,20150302,2
11441,20150303,2
11441,20150304,2
11441,20150305,2
11441,20150306,2
11441,20150309,2
11441,20150310,2
11441,20150311,2
11441,20150312,2
11441,20150313,2
11441,20150316,2
11441,20150317,2
11441,20150318,2
11441,20150319,2
11441,20150320,2
11442,20150209,1
11442,20150210,1
11442,20150211,1
11442,20150212,1
11442,20150213,1
11442,20150214,1
11442,20150215,1
11442,20150216,1
11442,20150217,1
11442,20150218,1
11442,20150219,1
11442,20150220,1
11442,20150221,1
11442,20150222,1
11442,20150223,1
11442,20150224,1
11442,20150225,1
11442,20150226,1
11442,20150227,1
11442,20150228,1
11442,20150301,1
11442,20150323,1
11442,20150324,1
11442,20150325,1
11442,20150326,1
11442,20150327,1
11442,20150328,1
11442,20150329,1
11442,20150601,1
11442,20150602,1
11442,20150603,1
11442,20150604,1
11442,20150605,1
11442,20150606,1
11442,20150607,1
11442,20150608,1
11442,20150609,1
11442,20150525,1
11442,20150201,1
11442,20150207,1
11442,20150208,1
11442,20150307,1
11442,20150308,1
11442,20150314,1
11442,20150315,1
11442,20150321,1
11442,20150322,1
11442,20150523,1
11442,20150524,1
11442,20150530,1
11442,20150531,1
11442,20150330,1
11442,20150331,1
11442,20150401,1
11442,20150402,1
11442,20150403,1
11442,20150404,1
11442,20150406,1
11442,20150407,1
11442,20150408,1
11442,20150409,1
11442,20150410,1
11442,20150411,1
11442,20150413,1
11442,20150414,1
11442,20150415,1
11442,20150416,1
11442,20150417,1
11442,20150418,2
11440,20150202,1
11440,20150203,1
11440,20150204,1
11440,20150205,1
11440,20150206,1
11443,20150323,1
11443,20150324,1
11443,20150325,1
11443,20150326,1
11443,20150327,1
11443,20150328,1
11443,20150329,1
11443,20150330,1
11443,20150331,1
11443,20150401,1
11443,20150402,1
11443,20150403,1
11443,20150404,1
11443,20150405,1
11443,20150427,1
11443,20150428,1
11443,20150429,1
11443,20150430,1
11443,20150501,1
11443,20150502,1
11443,20150503,1
11443,20150504,1
11443,20150505,1
11443,20150506,1
11443,20150507,1
11443,20150508,1
11443,20150509,1
11443,20150510,1
11443,20150511,1
11443,20150512,1
11443,20150513,1
11443,20150514,1
11443,20150515,1
11443,20150516,1
11443,20150517,1
11443,20150526,1
11443,20150609,1
11443,20150201,1
11443,20150202,1
11443,20150208,1
11443,20150302,1
11443,20150308,1
11443,20150309,1
11443,20150315,1
11443,20150316,1
11443,20150322,1
11443,20150518,1
11443,20150524,1
11443,20150525,1
11443,20150607,1
11443,20150608,1
11443,20150407,1
11443,20150408,1
11443,20150409,1
11443,20150410,1
11443,20150411,1
11443,20150412,1
11443,20150414,1
11443,20150415,1
11443,20150416,1
11443,20150417,1
11443,20150418,1
11443,20150421,1
11443,20150422,1
11443,20150423,1
11443,20150424,1
11443,20150425,1
11443,20150426,1
11443,20150601,2
11443,20150531,2
11443,20150419,2
11444,20150209,1
11444,20150210,1
11444,20150211,1
11444,20150212,1
11444,20150213,1
11444,20150214,1
11444,20150215,1
11444,20150216,1
11444,20150217,1
11444,20150218,1
11444,20150219,1
11444,20150220,1
11444,20150221,1
11444,20150222,1
11444,20150223,1
11444,20150224,1
11444,20150225,1
11444,20150226,1
11444,20150227,1
11444,20150228,1
11444,20150301,1
11444,20150323,1
11444,20150324,1
11444,20150325,1
